aspect,chili,elevation,lat,long,newfire,newfire_yr,oldfire,oldfire_yr,reburn,slope,tpi,folded_aspect
295.06015,213,806,42.2393636,-123.9979088,chetco,2017,biscuit,2002,biscuit_chetco,24.636665,100,64.93985
278.428,176,1337,42.1975512,-123.8224682,chetco,2017,biscuit,2002,biscuit_chetco,12.456206,69,81.572
347.30087,230,425,42.3018264,-123.9474682,chetco,2017,biscuit,2002,biscuit_chetco,11.261677,-117,12.69913
255.50359,205,628,42.3776198,-124.0283657,chetco,2017,biscuit,2002,biscuit_chetco,24.355268,-36,104.49641
188.09619,223,1040,42.2710373,-123.992166,chetco,2017,biscuit,2002,biscuit_chetco,17.25814,98,171.90381
339.44434,135,977,42.2043237,-124.0077953,chetco,2017,biscuit,2002,biscuit_chetco,17.28578,75,20.55566
172.98837,233,605,42.3404797,-124.0227562,chetco,2017,biscuit,2002,biscuit_chetco,28.290096,-42,172.98837
320.93057,137,572,42.3444755,-124.0020568,chetco,2017,biscuit,2002,biscuit_chetco,22.636372,-19,39.06943
26.899319,165,1124,42.3378311,-123.8755867,chetco,2017,biscuit,2002,biscuit_chetco,8.262389,41,26.899319
339.778,170,395,42.2365988,-124.0084508,chetco,2017,biscuit,2002,biscuit_chetco,10.744823,-69,20.222
138.73474,218,1061,42.201655,-123.8833562,chetco,2017,biscuit,2002,biscuit_chetco,23.30242,115,138.73474
13.947803,65,564,42.122987,-124.0048809,chetco,2017,biscuit,2002,biscuit_chetco,32.367466,-37,13.947803
191.44287,234,947,42.1786837,-124.0133618,chetco,2017,biscuit,2002,biscuit_chetco,18.279484,79,168.55713
275.5502,185,446,42.3947212,-123.949482,chetco,2017,biscuit,2002,biscuit_chetco,39.924477,-54,84.4498
116.30875,158,508,42.1295289,-124.0119347,chetco,2017,biscuit,2002,biscuit_chetco,33.32226,-23,116.30875
163.27264,215,563,42.3175672,-124.0410462,chetco,2017,biscuit,2002,biscuit_chetco,16.922611,-25,163.27264
164.8672,232,367,42.3069162,-124.0105205,chetco,2017,biscuit,2002,biscuit_chetco,33.85256,-104,164.8672
209.36577,224,554,42.2259719,-124.070925,chetco,2017,biscuit,2002,biscuit_chetco,12.5654545,41,150.63423
231.72008,219,890,42.2805766,-123.998517,chetco,2017,biscuit,2002,biscuit_chetco,22.688997,56,128.27992
4.2934704,156,569,42.2692692,-123.8948117,chetco,2017,biscuit,2002,biscuit_chetco,16.288357,-9,4.2934704
214.01508,217,777,42.1953821,-123.8777596,chetco,2017,biscuit,2002,biscuit_chetco,6.6832523,-47,145.98492
218.3881,239,437,42.275007,-124.0224896,chetco,2017,biscuit,2002,biscuit_chetco,30.91815,-37,141.6119
123.13222,197,542,42.2926948,-124.0501697,chetco,2017,biscuit,2002,biscuit_chetco,23.95332,8,123.13222
221.95436,225,1020,42.1323784,-123.9557126,chetco,2017,biscuit,2002,biscuit_chetco,24.56566,-6,138.04564
331.60825,156,382,42.265427,-124.0523254,chetco,2017,biscuit,2002,biscuit_chetco,15.430393,-21,28.39175
10.195394,120,826,42.151099,-123.8832616,chetco,2017,biscuit,2002,biscuit_chetco,13.858809,-27,10.195394
164.86536,234,908,42.314848,-123.9351422,chetco,2017,biscuit,2002,biscuit_chetco,33.85279,-28,164.86536
323.35532,133,858,42.322146,-123.9387164,chetco,2017,biscuit,2002,biscuit_chetco,21.974464,-51,36.64468
193.80743,227,642,42.2841972,-124.0594781,chetco,2017,biscuit,2002,biscuit_chetco,28.814852,110,166.19257
97.01909,142,317,42.3762231,-124.0018461,chetco,2017,biscuit,2002,biscuit_chetco,21.673292,-60,97.01909
148.42825,132,547,42.2965927,-124.1616746,chetco,2017,biscuit,2002,biscuit_chetco,11.804929,-94,148.42825
331.61414,156,750,42.2497632,-123.9329693,chetco,2017,biscuit,2002,biscuit_chetco,20.203703,83,28.38586
84.92067,137,1410,42.2086685,-123.8123065,chetco,2017,biscuit,2002,biscuit_chetco,28.745695,116,84.92067
318.81964,165,274,42.2989668,-123.9619862,chetco,2017,biscuit,2002,biscuit_chetco,20.084202,-97,41.18036
2.9694827,141,348,42.1452864,-124.0344931,chetco,2017,biscuit,2002,biscuit_chetco,22.85289,-37,2.9694827
