system:index,0_pr,0_year,1_pr,1_year,2_pr,2_year,3_pr,3_year,4_pr,4_year,5_pr,5_year,6_pr,6_year,7_pr,7_year,8_pr,8_year,9_pr,9_year,10_pr,10_year,11_pr,11_year,12_pr,12_year,13_pr,13_year,14_pr,14_year,15_pr,15_year,lat,long,newfire,newfire_yr,oldfire,oldfire_yr,reburn,.geo
00000000000000000374_0,2816.0476,1988,3180.5042,1989,2522.5396,1990,2339.9895,1991,1936.9552,1992,3118.1213,1993,1922.3276,1994,3422.7117,1995,3962.2654,1996,3553.9387,1997,3435.6238,1998,3521.4163,1999,2976.1057,2000,2027.2411,2001,3313.1526,2002,,,42.5291072,-123.8913241,biscuit,2002,silver,1987,silver_biscuit,
00000000000000000486_0,2483.289,1988,2730.7512,1989,2158.6057,1990,2046.436,1991,1693.2053,1992,2705.945,1993,1730.7628,1994,3131.4573,1995,3567.4194,1996,3245.2537,1997,3047.053,1998,3223.191,1999,2645.287,2000,1725.7471,2001,2856.669,2002,,,42.4222135,-123.9648067,biscuit,2002,silver,1987,silver_biscuit,
000000000000000003a0_0,2591.8633,1988,2909.808,1989,2303.0874,1990,2159.1,1991,1793.8116,1992,2817.99,1993,1789.4127,1994,3214.17,1995,3648.723,1996,3352.3362,1997,3221.126,1998,3324.975,1999,2792.62,2000,1859.2686,2001,3045.505,2002,,,42.5056525,-123.8631959,biscuit,2002,silver,1987,silver_biscuit,
000000000000000006f6_0,2891.6868,1988,3312.3564,1989,2590.0684,1990,2338.2053,1991,2086.5156,1992,3533.2473,1993,2110.031,1994,3865.3188,1995,4260.7153,1996,3877.0767,1997,3603.223,1998,3903.84,1999,3020.2932,2000,1985.7893,2001,3368.8276,2002,,,42.3657475,-124.0165403,biscuit,2002,silver,1987,silver_biscuit,
000000000000000000fc_0,3648.4253,1988,4256.378,1989,3363.7336,1990,3001.615,1991,2643.7153,1992,4568.1904,1993,2667.2686,1994,4954.2505,1995,5275.318,1996,4786.8833,1997,4516.64,1998,5016.7046,1999,3816.8684,2000,2619.0278,2001,4273.63,2002,,,42.3028918,-123.9040755,biscuit,2002,silver,1987,silver_biscuit,
00000000000000000239_0,2541.6704,1988,2796.8418,1989,2231.8887,1990,2069.527,1991,1779.6326,1992,2731.2166,1993,1743.2391,1994,3141.943,1995,3681.6233,1996,3310.8718,1997,3130.4595,1998,3208.4866,1999,2717.2588,2000,1727.2723,2001,2976.1216,2002,,,42.4946602,-123.9830759,biscuit,2002,silver,1987,silver_biscuit,
0000000000000000056e_0,3325.1753,1988,3815.704,1989,3027.5833,1990,2704.7695,1991,2377.434,1992,4120.873,1993,2433.833,1994,4467.1846,1995,4785.4087,1996,4369.262,1997,4098.36,1998,4493.61,1999,3469.6475,2000,2344.2307,2001,3845.6602,2002,,,42.3334562,-123.9379207,biscuit,2002,silver,1987,silver_biscuit,
0000000000000000012a_0,2534.8394,1988,2814.0862,1989,2232.389,1990,2082.4712,1991,1751.9204,1992,2714.8496,1993,1756.4089,1994,3162.825,1995,3550.5718,1996,3283.6826,1997,3138.7273,1998,3248.4595,1999,2749.2656,2000,1783.4471,2001,2954.9177,2002,,,42.5039041,-123.9039364,biscuit,2002,silver,1987,silver_biscuit,
00000000000000000410_0,2534.8394,1988,2814.0862,1989,2232.389,1990,2082.4712,1991,1751.9204,1992,2714.8496,1993,1756.4089,1994,3162.825,1995,3550.5718,1996,3283.6826,1997,3138.7273,1998,3248.4595,1999,2749.2656,2000,1783.4471,2001,2954.9177,2002,,,42.5007372,-123.9031647,biscuit,2002,silver,1987,silver_biscuit,
000000000000000006d6_0,2708.092,1988,3019.8577,1989,2379.473,1990,2214.221,1991,1884.5746,1992,2974.8494,1993,1906.3945,1994,3370.0276,1995,3780.4387,1996,3467.399,1997,3277.5813,1998,3449.4387,1999,2905.2239,2000,1902.0327,2001,3129.1484,2002,,,42.4534119,-123.9445149,biscuit,2002,silver,1987,silver_biscuit,
00000000000000000a6d_0,3325.1753,1988,3815.704,1989,3027.5833,1990,2704.7695,1991,2377.434,1992,4120.873,1993,2433.833,1994,4467.1846,1995,4785.4087,1996,4369.262,1997,4098.36,1998,4493.61,1999,3469.6475,2000,2344.2307,2001,3845.6602,2002,,,42.3365586,-123.9382942,biscuit,2002,silver,1987,silver_biscuit,
00000000000000000117_0,2501.925,1988,2763.8757,1989,2220.2642,1990,2078.8704,1991,1744.6927,1992,2720.7473,1993,1687.5122,1994,3096.7861,1995,3703.927,1996,3278.116,1997,3120.93,1998,3183.7263,1999,2647.4219,2000,1690.1227,2001,2961.933,2002,,,42.5063381,-123.976652,biscuit,2002,silver,1987,silver_biscuit,
0000000000000000032c_0,2783.0068,1988,3128.3655,1989,2484.5166,1990,2265.501,1991,1985.5786,1992,3431.5469,1993,2036.1469,1994,3741.9897,1995,4044.9421,1996,3745.44,1997,3464.2222,1998,3815.5544,1999,2936.2415,2000,1917.0728,2001,3188.198,2002,,,42.3092643,-123.9604964,biscuit,2002,silver,1987,silver_biscuit,
00000000000000000335_0,2579.3918,1988,2920.8557,1989,2277.4497,1990,2116.9397,1991,1823.0658,1992,3011.699,1993,1856.9044,1994,3395.5447,1995,3769.4788,1996,3435.237,1997,3212.9695,1998,3471.7786,1999,2703.965,2000,1792.7115,2001,2978.9177,2002,,,42.3994659,-123.9727955,biscuit,2002,silver,1987,silver_biscuit,
000000000000000006c0_0,2627.1309,1988,2975.511,1989,2277.8052,1990,2133.6663,1991,1854.222,1992,3063.1719,1993,1910.5,1994,3441.4438,1995,3763.5818,1996,3438.1182,1997,3324.46,1998,3629.8875,1999,2790.8367,2000,1850.7168,2001,3038.555,2002,,,42.3564735,-123.8943395,biscuit,2002,silver,1987,silver_biscuit,
000000000000000006ad_0,2627.1309,1988,2975.511,1989,2277.8052,1990,2133.6663,1991,1854.222,1992,3063.1719,1993,1910.5,1994,3441.4438,1995,3763.5818,1996,3438.1182,1997,3324.46,1998,3629.8875,1999,2790.8367,2000,1850.7168,2001,3038.555,2002,,,42.3475681,-123.8879294,biscuit,2002,silver,1987,silver_biscuit,
00000000000000000538_0,2816.0476,1988,3180.5042,1989,2522.5396,1990,2339.9895,1991,1936.9552,1992,3118.1213,1993,1922.3276,1994,3422.7117,1995,3962.2654,1996,3553.9387,1997,3435.6238,1998,3521.4163,1999,2976.1057,2000,2027.2411,2001,3313.1526,2002,,,42.5230173,-123.8840867,biscuit,2002,silver,1987,silver_biscuit,
0000000000000000060a_0,2891.6868,1988,3312.3564,1989,2590.0684,1990,2338.2053,1991,2086.5156,1992,3533.2473,1993,2110.031,1994,3865.3188,1995,4260.7153,1996,3877.0767,1997,3603.223,1998,3903.84,1999,3020.2932,2000,1985.7893,2001,3368.8276,2002,,,42.3706757,-123.9967604,biscuit,2002,silver,1987,silver_biscuit,
0000000000000000065b_0,2470.3062,1988,2775.2136,1989,2170.7253,1990,2019.9752,1991,1775.4993,1992,2970.0576,1993,1816.1182,1994,3314.2622,1995,3638.692,1996,3358.199,1997,3110.6455,1998,3399.5662,1999,2628.1294,2000,1715.5957,2001,2860.442,2002,,,42.3749656,-123.994118,biscuit,2002,silver,1987,silver_biscuit,
00000000000000000945_0,3325.1753,1988,3815.704,1989,3027.5833,1990,2704.7695,1991,2377.434,1992,4120.873,1993,2433.833,1994,4467.1846,1995,4785.4087,1996,4369.262,1997,4098.36,1998,4493.61,1999,3469.6475,2000,2344.2307,2001,3845.6602,2002,,,42.3209723,-123.9535429,biscuit,2002,silver,1987,silver_biscuit,
00000000000000000883_0,2591.8633,1988,2909.808,1989,2303.0874,1990,2159.1,1991,1793.8116,1992,2817.99,1993,1789.4127,1994,3214.17,1995,3648.723,1996,3352.3362,1997,3221.126,1998,3324.975,1999,2792.62,2000,1859.2686,2001,3045.505,2002,,,42.5255029,-123.8417334,biscuit,2002,silver,1987,silver_biscuit,
00000000000000000337_0,2749.7666,1988,3110.1814,1989,2465.9207,1990,2273.9043,1991,1970.9214,1992,3423.5156,1993,2027.401,1994,3757.0132,1995,3979.9993,1996,3745.1638,1997,3487.271,1998,3833.6274,1999,2965.3918,2000,1930.7283,2001,3177.533,2002,,,42.2915094,-123.9090988,biscuit,2002,silver,1987,silver_biscuit,
000000000000000002f3_0,2627.1309,1988,2975.511,1989,2277.8052,1990,2133.6663,1991,1854.222,1992,3063.1719,1993,1910.5,1994,3441.4438,1995,3763.5818,1996,3438.1182,1997,3324.46,1998,3629.8875,1999,2790.8367,2000,1850.7168,2001,3038.555,2002,,,42.3401242,-123.8841324,biscuit,2002,silver,1987,silver_biscuit,
00000000000000000787_0,2579.3918,1988,2920.8557,1989,2277.4497,1990,2116.9397,1991,1823.0658,1992,3011.699,1993,1856.9044,1994,3395.5447,1995,3769.4788,1996,3435.237,1997,3212.9695,1998,3471.7786,1999,2703.965,2000,1792.7115,2001,2978.9177,2002,,,42.4004814,-123.9890135,biscuit,2002,silver,1987,silver_biscuit,
00000000000000000822_0,3200.4575,1988,3728.335,1989,2888.0515,1990,2636.0728,1991,2319.6904,1992,3926.8342,1993,2337.5227,1994,4303.112,1995,4693.4365,1996,4262.6875,1997,4001.5422,1998,4385.5435,1999,3340.1953,2000,2280.2048,2001,3749.2776,2002,,,42.337673,-123.9419241,biscuit,2002,silver,1987,silver_biscuit,
00000000000000000193_0,2816.0476,1988,3180.5042,1989,2522.5396,1990,2339.9895,1991,1936.9552,1992,3118.1213,1993,1922.3276,1994,3422.7117,1995,3962.2654,1996,3553.9387,1997,3435.6238,1998,3521.4163,1999,2976.1057,2000,2027.2411,2001,3313.1526,2002,,,42.5319141,-123.9022133,biscuit,2002,silver,1987,silver_biscuit,
0000000000000000003a_0,3325.1753,1988,3815.704,1989,3027.5833,1990,2704.7695,1991,2377.434,1992,4120.873,1993,2433.833,1994,4467.1846,1995,4785.4087,1996,4369.262,1997,4098.36,1998,4493.61,1999,3469.6475,2000,2344.2307,2001,3845.6602,2002,,,42.3106398,-123.9366967,biscuit,2002,silver,1987,silver_biscuit,
000000000000000001b3_0,2683.0823,1988,2978.2183,1989,2377.4233,1990,2184.3208,1991,1842.3483,1992,2894.0356,1993,1842.0333,1994,3306.4995,1995,3780.1428,1996,3437.2947,1997,3273.5078,1998,3357.8196,1999,2859.6748,2000,1876.8981,2001,3136.7444,2002,,,42.4821376,-123.9200583,biscuit,2002,silver,1987,silver_biscuit,
000000000000000004a5_0,2891.6868,1988,3312.3564,1989,2590.0684,1990,2338.2053,1991,2086.5156,1992,3533.2473,1993,2110.031,1994,3865.3188,1995,4260.7153,1996,3877.0767,1997,3603.223,1998,3903.84,1999,3020.2932,2000,1985.7893,2001,3368.8276,2002,,,42.3556847,-124.034355,biscuit,2002,silver,1987,silver_biscuit,
00000000000000000a4f_0,2683.0823,1988,2978.2183,1989,2377.4233,1990,2184.3208,1991,1842.3483,1992,2894.0356,1993,1842.0333,1994,3306.4995,1995,3780.1428,1996,3437.2947,1997,3273.5078,1998,3357.8196,1999,2859.6748,2000,1876.8981,2001,3136.7444,2002,,,42.4860245,-123.9372464,biscuit,2002,silver,1987,silver_biscuit,
000000000000000005db_0,2164.377,1988,2485.257,1989,1934.3381,1990,1858.2335,1991,1529.5333,1992,2471.682,1993,1509.5881,1994,2803.2783,1995,3098.588,1996,2992.2834,1997,2801.0098,1998,2960.0598,1999,2426.1453,2000,1566.3169,2001,2549.906,2002,,,42.5371894,-123.8232338,biscuit,2002,silver,1987,silver_biscuit,
00000000000000000001_0,2948.0535,1988,3359.608,1989,2624.933,1990,2377.4197,1991,2143.7231,1992,3640.8162,1993,2171.6636,1994,3954.044,1995,4304.796,1996,4010.0374,1997,3715.953,1998,4071.6633,1999,3175.4773,2000,1953.299,2001,3438.9705,2002,,,42.3492864,-124.0445467,biscuit,2002,silver,1987,silver_biscuit,
000000000000000006f4_0,2301.9814,1988,2549.771,1989,1993.4854,1990,1884.573,1991,1577.3259,1992,2605.4597,1993,1628.0481,1994,2973.911,1995,3331.1938,1996,3076.8489,1997,2892.5413,1998,3131.1404,1999,2484.6763,2000,1599.9324,2001,2625.367,2002,,,42.3976186,-123.9442558,biscuit,2002,silver,1987,silver_biscuit,
0000000000000000030e_0,2082.7268,1988,2285.8767,1989,1799.3868,1990,1733.417,1991,1466.108,1992,2396.4807,1993,1497.6578,1994,2746.581,1995,3004.1838,1996,2857.6855,1997,2684.0925,1998,2849.8792,1999,2272.062,2000,1409.2733,2001,2410.2424,2002,,,42.3823278,-124.0242727,biscuit,2002,silver,1987,silver_biscuit,
0000000000000000092c_0,2369.529,1988,2656.4949,1989,2107.4875,1990,1968.5803,1991,1724.3815,1992,2985.0059,1993,1759.9694,1994,3240.3323,1995,3480.643,1996,3295.9736,1997,3011.942,1998,3342.636,1999,2551.936,2000,1595.8916,2001,2709.2483,2002,,,42.3269289,-124.0014323,biscuit,2002,silver,1987,silver_biscuit,
0000000000000000073d_0,2816.0476,1988,3180.5042,1989,2522.5396,1990,2339.9895,1991,1936.9552,1992,3118.1213,1993,1922.3276,1994,3422.7117,1995,3962.2654,1996,3553.9387,1997,3435.6238,1998,3521.4163,1999,2976.1057,2000,2027.2411,2001,3313.1526,2002,,,42.5370905,-123.8864701,biscuit,2002,silver,1987,silver_biscuit,
000000000000000004da_0,2259.6519,1988,2464.0725,1989,1973.0068,1990,1867.0781,1991,1550.6368,1992,2485.375,1993,1573.8567,1994,2909.6533,1995,3193.7534,1996,3054.6946,1997,2876.401,1998,3042.9104,1999,2514.6204,2000,1577.457,2001,2635.1423,2002,,,42.4493917,-123.8661391,biscuit,2002,silver,1987,silver_biscuit,
00000000000000000108_0,2541.6704,1988,2796.8418,1989,2231.8887,1990,2069.527,1991,1779.6326,1992,2731.2166,1993,1743.2391,1994,3141.943,1995,3681.6233,1996,3310.8718,1997,3130.4595,1998,3208.4866,1999,2717.2588,2000,1727.2723,2001,2976.1216,2002,,,42.5012465,-123.9932825,biscuit,2002,silver,1987,silver_biscuit,
00000000000000000652_0,2301.9814,1988,2549.771,1989,1993.4854,1990,1884.573,1991,1577.3259,1992,2605.4597,1993,1628.0481,1994,2973.911,1995,3331.1938,1996,3076.8489,1997,2892.5413,1998,3131.1404,1999,2484.6763,2000,1599.9324,2001,2625.367,2002,,,42.3833218,-123.9306341,biscuit,2002,silver,1987,silver_biscuit,
0000000000000000076c_0,2196.7834,1988,2409.185,1989,1932.341,1990,1822.2466,1991,1509.8416,1992,2400.544,1993,1514.6864,1994,2818.536,1995,3140.2537,1996,2977.3079,1997,2813.4421,1998,2920.491,1999,2446.8047,2000,1532.6377,2001,2570.2288,2002,,,42.4891484,-123.836418,biscuit,2002,silver,1987,silver_biscuit,
00000000000000000348_0,2783.0068,1988,3128.3655,1989,2484.5166,1990,2265.501,1991,1985.5786,1992,3431.5469,1993,2036.1469,1994,3741.9897,1995,4044.9421,1996,3745.44,1997,3464.2222,1998,3815.5544,1999,2936.2415,2000,1917.0728,2001,3188.198,2002,,,42.3247775,-123.9783925,biscuit,2002,silver,1987,silver_biscuit,
0000000000000000099b_0,2259.6519,1988,2464.0725,1989,1973.0068,1990,1867.0781,1991,1550.6368,1992,2485.375,1993,1573.8567,1994,2909.6533,1995,3193.7534,1996,3054.6946,1997,2876.401,1998,3042.9104,1999,2514.6204,2000,1577.457,2001,2635.1423,2002,,,42.4412063,-123.844863,biscuit,2002,silver,1987,silver_biscuit,
00000000000000000990_0,2196.7834,1988,2409.185,1989,1932.341,1990,1822.2466,1991,1509.8416,1992,2400.544,1993,1514.6864,1994,2818.536,1995,3140.2537,1996,2977.3079,1997,2813.4421,1998,2920.491,1999,2446.8047,2000,1532.6377,2001,2570.2288,2002,,,42.4834615,-123.8580915,biscuit,2002,silver,1987,silver_biscuit,
0000000000000000096b_0,2408.054,1988,2704.1042,1989,2128.4404,1990,2010.7611,1991,1724.2346,1992,2972.292,1993,1776.2451,1994,3291.1104,1995,3506.907,1996,3324.869,1997,3080.5894,1998,3398.4854,1999,2643.1357,2000,1683.6392,2001,2775.5483,2002,,,42.280718,-123.9529134,biscuit,2002,silver,1987,silver_biscuit,
0000000000000000003e_0,2082.7268,1988,2285.8767,1989,1799.3868,1990,1733.417,1991,1466.108,1992,2396.4807,1993,1497.6578,1994,2746.581,1995,3004.1838,1996,2857.6855,1997,2684.0925,1998,2849.8792,1999,2272.062,2000,1409.2733,2001,2410.2424,2002,,,42.4000526,-124.0285592,biscuit,2002,silver,1987,silver_biscuit,
000000000000000004aa_0,2816.0476,1988,3180.5042,1989,2522.5396,1990,2339.9895,1991,1936.9552,1992,3118.1213,1993,1922.3276,1994,3422.7117,1995,3962.2654,1996,3553.9387,1997,3435.6238,1998,3521.4163,1999,2976.1057,2000,2027.2411,2001,3313.1526,2002,,,42.5278638,-123.889033,biscuit,2002,silver,1987,silver_biscuit,
00000000000000000aa7_0,2408.054,1988,2704.1042,1989,2128.4404,1990,2010.7611,1991,1724.2346,1992,2972.292,1993,1776.2451,1994,3291.1104,1995,3506.907,1996,3324.869,1997,3080.5894,1998,3398.4854,1999,2643.1357,2000,1683.6392,2001,2775.5483,2002,,,42.2952759,-123.9509503,biscuit,2002,silver,1987,silver_biscuit,
0000000000000000091b_0,2013.8612,1988,2205.6326,1989,1744.2183,1990,1673.3645,1991,1405.0813,1992,2358.6301,1993,1435.4747,1994,2666.7722,1995,2886.9775,1996,2825.0698,1997,2601.2756,1998,2775.8164,1999,2275.2131,2000,1376.7129,2001,2310.6184,2002,,,42.410989,-123.8770612,biscuit,2002,silver,1987,silver_biscuit,
00000000000000000a79_0,3325.1753,1988,3815.704,1989,3027.5833,1990,2704.7695,1991,2377.434,1992,4120.873,1993,2433.833,1994,4467.1846,1995,4785.4087,1996,4369.262,1997,4098.36,1998,4493.61,1999,3469.6475,2000,2344.2307,2001,3845.6602,2002,,,42.2998054,-123.9444666,biscuit,2002,silver,1987,silver_biscuit,
00000000000000000900_0,2301.9814,1988,2549.771,1989,1993.4854,1990,1884.573,1991,1577.3259,1992,2605.4597,1993,1628.0481,1994,2973.911,1995,3331.1938,1996,3076.8489,1997,2892.5413,1998,3131.1404,1999,2484.6763,2000,1599.9324,2001,2625.367,2002,,,42.3982053,-123.9322987,biscuit,2002,silver,1987,silver_biscuit,
00000000000000000a72_0,2534.8394,1988,2814.0862,1989,2232.389,1990,2082.4712,1991,1751.9204,1992,2714.8496,1993,1756.4089,1994,3162.825,1995,3550.5718,1996,3283.6826,1997,3138.7273,1998,3248.4595,1999,2749.2656,2000,1783.4471,2001,2954.9177,2002,,,42.495148,-123.8772127,biscuit,2002,silver,1987,silver_biscuit,
0000000000000000043f_0,2369.529,1988,2656.4949,1989,2107.4875,1990,1968.5803,1991,1724.3815,1992,2985.0059,1993,1759.9694,1994,3240.3323,1995,3480.643,1996,3295.9736,1997,3011.942,1998,3342.636,1999,2551.936,2000,1595.8916,2001,2709.2483,2002,,,42.3303999,-124.0118077,biscuit,2002,silver,1987,silver_biscuit,
0000000000000000056a_0,2541.6704,1988,2796.8418,1989,2231.8887,1990,2069.527,1991,1779.6326,1992,2731.2166,1993,1743.2391,1994,3141.943,1995,3681.6233,1996,3310.8718,1997,3130.4595,1998,3208.4866,1999,2717.2588,2000,1727.2723,2001,2976.1216,2002,,,42.4820301,-123.9714119,biscuit,2002,silver,1987,silver_biscuit,
00000000000000000214_0,2891.6868,1988,3312.3564,1989,2590.0684,1990,2338.2053,1991,2086.5156,1992,3533.2473,1993,2110.031,1994,3865.3188,1995,4260.7153,1996,3877.0767,1997,3603.223,1998,3903.84,1999,3020.2932,2000,1985.7893,2001,3368.8276,2002,,,42.3743949,-124.0159462,biscuit,2002,silver,1987,silver_biscuit,
00000000000000000110_0,2013.8612,1988,2205.6326,1989,1744.2183,1990,1673.3645,1991,1405.0813,1992,2358.6301,1993,1435.4747,1994,2666.7722,1995,2886.9775,1996,2825.0698,1997,2601.2756,1998,2775.8164,1999,2275.2131,2000,1376.7129,2001,2310.6184,2002,,,42.4006909,-123.9124473,biscuit,2002,silver,1987,silver_biscuit,
00000000000000000af9_0,3325.1753,1988,3815.704,1989,3027.5833,1990,2704.7695,1991,2377.434,1992,4120.873,1993,2433.833,1994,4467.1846,1995,4785.4087,1996,4369.262,1997,4098.36,1998,4493.61,1999,3469.6475,2000,2344.2307,2001,3845.6602,2002,,,42.2969856,-123.9335664,biscuit,2002,silver,1987,silver_biscuit,
000000000000000005d5_0,3325.1753,1988,3815.704,1989,3027.5833,1990,2704.7695,1991,2377.434,1992,4120.873,1993,2433.833,1994,4467.1846,1995,4785.4087,1996,4369.262,1997,4098.36,1998,4493.61,1999,3469.6475,2000,2344.2307,2001,3845.6602,2002,,,42.3158033,-123.9468705,biscuit,2002,silver,1987,silver_biscuit,
000000000000000005c3_0,2408.054,1988,2704.1042,1989,2128.4404,1990,2010.7611,1991,1724.2346,1992,2972.292,1993,1776.2451,1994,3291.1104,1995,3506.907,1996,3324.869,1997,3080.5894,1998,3398.4854,1999,2643.1357,2000,1683.6392,2001,2775.5483,2002,,,42.2856032,-123.9238757,biscuit,2002,silver,1987,silver_biscuit,
0000000000000000053a_0,2510.0156,1988,2797.3855,1989,2209.799,1990,2068.4314,1991,1740.1274,1992,2757.9841,1993,1753.4226,1994,3168.4312,1995,3506.0664,1996,3288.2288,1997,3124.2786,1998,3296.0251,1999,2763.1003,2000,1792.934,2001,2927.1646,2002,,,42.4262282,-123.9024536,biscuit,2002,silver,1987,silver_biscuit,
